Song Name;Artist;Youtube Link
Lost Umbrella;稲葉曇;https://www.youtube.com/watch?v=DeKLpgzh-qQ
Vegetable Soup;Igorrr;https://www.youtube.com/watch?v=5LN7W3EtRMg
Polyrhythmic Pug;Jason Richardson;https://www.youtube.com/watch?v=_uJG5P_NuY4
Save Me;Veorra;https://www.youtube.com/watch?v=yy9HAA5ODJA
LOST MY MIND;Xen0christ;https://www.youtube.com/watch?v=sXPFJX00yR4
Frenetic Repletion;Dry and Shattered;https://www.youtube.com/watch?v=iF3BUqOMaZw
Acid Gas Trip;Dry and Shattered;https://www.youtube.com/watch?v=ujgu49TfntQ
JESUS LOVE YOU BUT I DON'T;Pranav.Wav;https://www.youtube.com/watch?v=lqlFWmy_Z2A
Favela;Vitalism;https://www.youtube.com/watch?v=QrbOh1jZ8bk
Alien Blood;Warlord Colossus Subtry;https://www.youtube.com/watch?v=R4CGU4dcjN8
froghorn.exe;Brian David Gilbert;https://www.youtube.com/watch?v=1BwDECuA0zs
Golden Mouth of Ruin;Archspire;https://www.youtube.com/watch?v=LY8RFaMs0Ac
COULDN'T BE ME;OMINVS ARSX;https://www.youtube.com/watch?v=5UDJFADPW1Q
RATKING 1518;Grim Salvo Witchouse 40k Savage Ga$p;https://www.youtube.com/watch?v=MDPg09pvZFw
Frank Miller (Kill Again);Freddie Dredd;https://www.youtube.com/watch?v=bBXrz_QXDY4
Boogie Wonderland;Earth Wind & Fire The Emotions;https://www.youtube.com/watch?v=god7hAPv8f0
The World We Knew (Over And Over);Frank Sinatra;https://www.youtube.com/watch?v=s1ABWNYZaFE
September;Earth Wind & Fire;https://www.youtube.com/watch?v=Gs069dndIYk
Careless Whisper;George Michael;https://www.youtube.com/watch?v=izGwDsrQ1eQ
Fleeting Lullaby;Ado;https://www.youtube.com/watch?v=hyV1AJiFNyo
unravel;Ado;https://www.youtube.com/watch?v=eZuDklxsaRg
Kitto Coaster;Ado;https://www.youtube.com/watch?v=nV5SHldicJY
Devil Playing God;Empty Graves;https://www.youtube.com/watch?v=O9r5Tsj5kR0
Endless Sea;Freddie Dredd;https://www.youtube.com/watch?v=WlKx_g9CdM4
Infinity - feat. ILIRA iiola & Tom Cane;Wilkinson ILIRA iiola Tom Cane;https://www.youtube.com/watch?v=-Lfw-kqBdwM
chess - slowed;joyful;https://www.youtube.com/watch?v=6QkV81pDz7w
TAKE A LOOK;Freddie Dredd;https://www.youtube.com/watch?v=1J3XWfvDi9c
MURDER SUSPECT;Afourteen;https://www.youtube.com/watch?v=a6Vwt6r2T0w
Chemical Head;Afourteen;https://www.youtube.com/watch?v=D8CEHzamrrU
Bahwai;Yamê;https://www.youtube.com/watch?v=5rAXzvqk2F4
Value;Ado;https://www.youtube.com/watch?v=5iAQF_q6FSk
Backlight;Ado;https://www.youtube.com/watch?v=gt-v_YCkaMY
Kitsuneno yomeiri;MASA WORKS DESIGN;https://www.youtube.com/watch?v=khNi_6PnvaE
Ziak (Aveux);La Bouillave;https://www.youtube.com/watch?v=Jotu8-zMhMs
THE GIVER;Grim Salvo Witchouse 40k;https://www.youtube.com/watch?v=4UgnXiklxSA
Totem;Vald;https://www.youtube.com/watch?v=iYUSZUVCNNU
Infanticide;Vald Suikon Blaz AD;https://www.youtube.com/watch?v=hfp8WHiPJ4k
from hell with love;Savage Ga$p;https://www.youtube.com/watch?v=ajPgjsi3-tg
Suck My 401k;Jarrod Alonge Amidst the Grave's Demons;https://www.youtube.com/watch?v=ckSl1teci3E
HELLFIRE;ZOMBIEZ GHØSTKID;https://www.youtube.com/watch?v=GyiwHGRqqiY
Enabling All Cheat Codes;ONI INC. Aytee;https://www.youtube.com/watch?v=glkqyJxuMVY
GOTT IST TOT;ZOMBIEZ;https://www.youtube.com/watch?v=8NX4ofF4dAU
God-ish;PinocchioP;https://www.youtube.com/watch?v=EHBFKhLUVig
SICK;二口魔菜 Futakuchi Mana;https://www.youtube.com/watch?v=v-mgDgCCrIU
wxrst me.;Scarlxrd;https://www.youtube.com/watch?v=qRzCR6VTKus
6:00;grandson;https://www.youtube.com/watch?v=7Co4BPDVnsg
プロポーズ;9Lana;https://www.youtube.com/watch?v=XPLkkdMFmco
KMS;Sub Urban;https://www.youtube.com/watch?v=9MSTMoWBRbs
They Think I'm Joking;Warlord Colossus Netuh;https://www.youtube.com/watch?v=NyCjqUCMOUM
Nate Smith Is the Ace of Aces;The Fearless Flyers;https://www.youtube.com/watch?v=6NdWg4xIus8
＋♂;Giga;https://www.youtube.com/watch?v=8zNRKC6BwRQ
Crosty;Polyphia;https://www.youtube.com/watch?v=nvJIn9GcWiE
TUCA DONKA;CURSEDEVIL DJ FKU Skorde;https://www.youtube.com/watch?v=YDpNRw5geSA
IT'S WHATEVA;OMINVS;https://www.youtube.com/watch?v=B3CFLIBfARg
I Ain't Never Met A Cigarette I Couldn't Smoke;Faceless 1-7;https://www.youtube.com/watch?v=8jaXvAMjwg8
Remedy This Failure;Warlord Colossus;https://www.youtube.com/watch?v=oq9apWAM3dA
Caramelldansen;Caramella Girls;https://www.youtube.com/watch?v=6-8E4Nirh9s
Honeypie;JAWNY;https://www.youtube.com/watch?v=Wgw6tJ8yz9M
悲しみがとまらない　I CAN'T STOP THE LONELINESS;Anri;https://www.youtube.com/watch?v=6q6GtPdVHL4
BAPHOMET;Grim Salvo Witchouse 40k;https://www.youtube.com/watch?v=5qcF57ciitU
Kingslayer (feat. BABYMETAL);Bring Me The Horizon BABYMETAL;https://www.youtube.com/watch?v=fKyXvNkGQKc
STAND ON BUSINESS;OMINVS Jenx2;https://www.youtube.com/watch?v=mn2Voccwb4U
Satanic Panic;Bleed The Wicked Menace;https://www.youtube.com/watch?v=kHLxn9PeIfY
ST. PLAGUE;Grim Salvo Witchouse 40k Brahman;https://www.youtube.com/watch?v=gv2HESxXz
